Connected to DESKTOP-G71MS8M
Request to change PHY
Request to change connection params
28364773-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608
28367154-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8386432, 39296, 41088, 46208, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 39296, 41088, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607
28369535-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8386432, 39296, 41088, 46208, 51584, 54400, 57728, -8388608, -8388608, -8388608, 39296, 41088, 46208, 51584, 54400, 57728, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28371520-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28591015-8388608, -8388608, 8388607, -8388608, -8388608, -8388480, 39296, 42623, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388480, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, 8388607, 8388607, -8388608, -8388608, 8388607, 8388607
28593347-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28595331-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8386432, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28597316-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388480, 39296, 41088, 46208, 51584, 54400, 57728, -8388608, -8388608, -8388608, 39296, 41088, 46208, 51584, 54400, 34944, 8388607, 8388607, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608
28599697-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, -8384897, -25985
28602078-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28604063-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28606444-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, 39296, 41088, 46208, 51584, 54400, 57728, -8388608, -8388608, -8353664, 39296, 41088, 46208, 51584, 54400, 39296, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, -8388481, -25985
28608825-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28827876-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, 39296, 41088, 46208, 51584, 54400, 57728, -8388608, -8388608, -8388480, 39296, 41088, 46208, 51584, 54400, 57728, 8388607, 8388607, -8388605, -25985, -24448, 46208, 51584, 54400
28829859-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8386432, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -1, 8388607, -8388608, -8388608, -8388608, -8388608
28832240-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, 39296, 41088, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, -8388481, -25985
28834621-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28836605-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, 39296, 41088, 46208, 51584, 54400, 57728, -8388608, -8388608, -8388480, 39296, 41088, 46208, 51584, 54400, 57728, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28838986-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, 39296, 41088, 46208, 51584, 54400, 57728, -8388608, -8388608, -8353664, 39296, 41088, 46208, 51584, 54400, 0, 8388607, 8359551, -25985, -24448, 46208, 51584, 54400, 8388607
28841367-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28843351-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8386432, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28845335-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8386432, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -1, 8388607, -8388608, -8388608, -8388608, -8388608
28847716-8388608, -8388608, 8388607, -8353664, 39296, 42623, -18304, 51584, -8388608, -8388608, -8388608, -8388608, -8386432, 39296, 41088, 46208, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 39296, 41088, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607
29067570-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388480, 39296, 41088, 46208, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, -8388608, -1, 8388607, -8388608, -8388608
29069942-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608
29072346-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, -8352129, -25985
29074704-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
